,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
20,99 READE STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,07/25/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,982011.0,200013.0,"99 READE STREET, NEW YORK, NEW YORK","(40.7156224, -74.0081531)"
83,98 B AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,08/08/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,989379.0,203305.0,"98 B AVENUE, NEW YORK, NEW YORK","(40.67675790000001, -73.9470886)"
174,973 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,07/07/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,994758.0,230868.0,"973 COLUMBUS AVENUE, NEW YORK, NEW YORK","(40.800244, -73.96171)"
227,96 FAIRVIEW AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,10.0,05/07/2011 07:00:00 AM +0000,Open,Unspecified,,1002939.0,251387.0,"96 FAIRVIEW AVENUE, NEW YORK, NEW YORK","(40.8566844, -73.9325034)"
230,96 BROADWAY,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,12/02/2010 08:00:00 AM +0000,Open,Unspecified,,981062.0,197215.0,"96 BROADWAY, NEW YORK, NEW YORK","(40.7079884, -74.0115295)"
247,965 LEXINGTON AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,994484.0,219536.0,"965 LEXINGTON AVENUE, NEW YORK, NEW YORK","(40.769144, -73.962825)"
292,95 CHRYSTIE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,08/03/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985902.0,200773.0,"95 CHRYSTIE STREET, NEW YORK, NEW YORK","(40.717793, -73.99437999999999)"
382,942 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,08/17/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,994569.0,230540.0,"942 COLUMBUS AVENUE, NEW YORK, NEW YORK","(40.799581, -73.963014)"
432,93 FRANKLIN STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,08/04/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,982857.0,200910.0,"93 FRANKLIN STREET, NEW YORK, NEW YORK","(40.7181121, -74.0049859)"
466,930 COLUMBUS AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,08/15/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,994471.0,230363.0,"930 COLUMBUS AVENUE, NEW YORK, NEW YORK","(40.799083, -73.963331)"
468,930 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,06/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,993692.0,230815.0,"930 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.80028, -73.96622599999999)"
478,92 ST NICHOLAS PLACE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,07/14/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1000721.0,241640.0,"92 ST NICHOLAS PLACE, NEW YORK, NEW YORK","(40.8298956, -73.9404769)"
495,928 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,06/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,993679.0,230790.0,"928 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.80023, -73.966261)"
501,926 AMSTERDAM AVENUE,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,06/27/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,993665.0,230765.0,"926 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.800175, -73.96630100000002)"
551,91 COOPER STREET,MANHATTAN,12 MANHATTAN,Precinct 34,7.0,07/12/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1005980.0,255739.0,"91 COOPER STREET, NEW YORK, NEW YORK","(40.8686595, -73.92134279999999)"
595,910 RIVERSIDE DRIVE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,08/03/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999158.0,244725.0,"910 RIVERSIDE DRIVE, NEW YORK, NEW YORK","(40.8383463, -73.9459715)"
620,90 WORTH STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,04/14/2011 07:00:00 AM +0000,Open,Unspecified,,982921.0,200278.0,"90 WORTH STREET, NEW YORK, NEW YORK","(40.7163564, -74.0049386)"
627,90 NAGLE AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/06/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1004235.0,252789.0,"90 NAGLE AVENUE, NEW YORK, NEW YORK","(40.860733, -73.9279509)"
630,90 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,08/05/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,986357.0,200603.0,"90 ELDRIDGE STREET, NEW YORK, NEW YORK","(40.717276, -73.99215099999999)"
641,908 ST NICHOLAS AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,7.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1000517.0,242151.0,"908 ST NICHOLAS AVENUE, NEW YORK, NEW YORK","(40.8312609, -73.9410524)"
735,8 PELL STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,07/28/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,984949.0,199665.0,"8 PELL STREET, NEW YORK, NEW YORK","(40.7147162, -73.9975102)"
750,89 WADSWORTH TERRACE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,08/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1003522.0,251558.0,"89 WADSWORTH TERRACE, NEW YORK, NEW YORK","(40.8571284, -73.9304801)"
811,892 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,6.0,06/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,988298.0,219207.0,"892 9 AVENUE, NEW YORK, NEW YORK","(40.768306, -73.98514399999999)"
