,Incident Address Display,Borough,Community Board,Police Precinct,City Council District,Created Date,Status,Resolution Action,Closed Date,X Coordinate,Y Coordinate,full_address,geocode
7527,273 WEST 138 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999567.0,237386.0,"273 WEST 138 STREET, NEW YORK, NEW YORK","(40.818517, -73.944782)"
7556,272 BLEECKER STREET,MANHATTAN,02 MANHATTAN,Precinct 6,3.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,983371.0,205783.0,"272 BLEECKER STREET, NEW YORK, NEW YORK","(40.7316006, -74.0033101)"
7630,26 JEFFERSON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,08/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987415.0,199166.0,"26 JEFFERSON STREET, NEW YORK, NEW YORK","(40.7133585, -73.98861339999999)"
7693,2658 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,07/07/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,992691.0,229917.0,"2658 BROADWAY, NEW YORK, NEW YORK","(40.79763519999999, -73.9693245)"
7705,264 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,01/15/2011 08:00:00 AM +0000,Open,Unspecified,,998068.0,234279.0,"264 WEST 125 STREET, NEW YORK, NEW YORK","(40.80958649999999, -73.9506549)"
7710,264 MULBERRY STREET,MANHATTAN,Unspecified MANHATTAN,Unspecified,1.0,05/11/2011 07:00:00 AM +0000,Open,Unspecified,,985504.0,202975.0,"264 MULBERRY STREET, NEW YORK, NEW YORK","(40.7239479, -73.9953877)"
7760,261 WEST 39 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,06/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,987028.0,214282.0,"261 WEST 39 STREET, NEW YORK, NEW YORK","(40.7550936, -73.9905793)"
7802,260 WEST 135 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,07/20/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,999367.0,236574.0,"260 WEST 135 STREET, NEW YORK, NEW YORK","(40.815863, -73.94580599999999)"
7803,260 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,02/23/2011 08:00:00 AM +0000,Open,Unspecified,,993272.0,231158.0,"260 WEST 106 STREET, NEW YORK, NEW YORK","(40.8012569, -73.96768949999999)"
7845,25 EAST 1 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,1.0,08/08/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,986759.0,203165.0,"25 EAST 1 STREET, NEW YORK, NEW YORK","(40.7242793, -73.9910853)"
7851,259 MOTT STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,12/20/2010 08:00:00 AM +0000,Open,Unspecified,,985728.0,202908.0,"259 MOTT STREET, NEW YORK, NEW YORK","(40.7234708, -73.9947418)"
7860,2594 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,11/17/2010 08:00:00 AM +0000,Open,Unspecified,,1001705.0,239716.0,"2594 7 AVENUE, NEW YORK, NEW YORK","(40.8248318, -73.93704559999999)"
7872,258 WEST 117 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,04/18/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,997020.0,232442.0,"258 WEST 117 STREET, NEW YORK, NEW YORK","(40.8045817, -73.9536628)"
7882,2580 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,05/17/2011 07:00:00 AM +0000,Open,Unspecified,,1001639.0,239592.0,"2580 7 AVENUE, NEW YORK, NEW YORK","(40.8243723, -73.9374024)"
7887,257 CANAL STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,08/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,984026.0,201096.0,"257 CANAL STREET, NEW YORK, NEW YORK","(40.71884, -74.000668)"
7901,256 WEST 124 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,01/08/2011 08:00:00 AM +0000,Open,Unspecified,,997973.0,234007.0,"256 WEST 124 STREET, NEW YORK, NEW YORK","(40.8091212, -73.9505345)"
7926,255 WEST 42 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,08/09/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,987446.0,214957.0,"255 WEST 42 STREET, NEW YORK, NEW YORK","(40.7570402, -73.98930779999999)"
7946,2554 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 24,6.0,04/22/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,992025.0,228719.0,"2554 BROADWAY, NEW YORK, NEW YORK","(40.7943137, -73.9716973)"
7952,254 WEST 29 STREET,MANHATTAN,05 MANHATTAN,Precinct 10,3.0,06/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985792.0,211971.0,"254 WEST 29 STREET, NEW YORK, NEW YORK","(40.7488267, -73.99539589999999)"
7957,2549 AMSTERDAM AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,07/11/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1004054.0,249508.0,"2549 AMSTERDAM AVENUE, NEW YORK, NEW YORK","(40.8515138, -73.9284112)"
7977,253 WEST 28 STREET,MANHATTAN,05 MANHATTAN,Precinct 10,3.0,06/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985682.0,211746.0,"253 WEST 28 STREET, NEW YORK, NEW YORK","(40.7437681, -73.984858)"
7978,253 WEST 125 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,9.0,03/10/2011 08:00:00 AM +0000,Open,Unspecified,,998136.0,234248.0,"253 WEST 125 STREET, NEW YORK, NEW YORK","(40.810232, -73.94983599999999)"
8008,252 EAST 86 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,12/15/2010 08:00:00 AM +0000,Open,Unspecified,,997316.0,222844.0,"252 EAST 86 STREET, NEW YORK, NEW YORK","(40.7779905, -73.9520392)"
8052,250 WEST 86 STREET,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,06/24/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990598.0,226565.0,"250 WEST 86 STREET, NEW YORK, NEW YORK","(40.7884334, -73.97712899999999)"
8055,250 WEST 155 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,07/20/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,1001894.0,241212.0,"250 WEST 155 STREET, NEW YORK, NEW YORK","(40.8284785, -73.9356565)"
8057,250 WEST 106 STREET,MANHATTAN,07 MANHATTAN,Precinct 24,8.0,06/09/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,993336.0,231123.0,"250 WEST 106 STREET, NEW YORK, NEW YORK","(40.8010881, -73.9673803)"
8061,250 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,05/11/2011 07:00:00 AM +0000,Open,Site to be cleaned.,,1006616.0,254840.0,"250 SHERMAN AVENUE, NEW YORK, NEW YORK","(40.866193, -73.9190948)"
8070,250 EAST 124 STREET,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,03/16/2011 07:00:00 AM +0000,Open,Unspecified,,1002197.0,231669.0,"250 EAST 124 STREET, NEW YORK, NEW YORK","(40.802256, -73.9344917)"
8073,250 BRADHURST AVENUE,MANHATTAN,10 MANHATTAN,Unspecified,7.0,07/14/2011 07:00:00 AM +0000,Open,Mail returned / wrong address,,1001197.0,241465.0,"250 BRADHURST AVENUE, NEW YORK, NEW YORK","(40.829315, -73.938395)"
8121,24 A AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,07/08/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,988221.0,202723.0,"24 A AVENUE, NEW YORK, NEW YORK","(40.6793358, -73.94685059999999)"
8122,249 WEST 29 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,07/25/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985829.0,211958.0,"249 WEST 29 STREET, NEW YORK, NEW YORK","(40.748916, -73.994827)"
8133,249A WEST 29 STREET,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,07/24/2011 07:00:00 AM +0000,Open,Notice of Intent to Clean and Forever Graffiti Free Form sent,,985829.0,211958.0,"249A WEST 29 STREET, NEW YORK, NEW YORK","(40.748916, -73.994827)"
8168,247 AUDUBON AVENUE,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,05/04/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,1002497.0,247642.0,"247 AUDUBON AVENUE, NEW YORK, NEW YORK","(40.84632879999999, -73.93381389999999)"
8172,2473 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,12/13/2010 08:00:00 AM +0000,Open,Unspecified,,1000934.0,238299.0,"2473 7 AVENUE, NEW YORK, NEW YORK","(40.8207377, -73.9396039)"
8229,244 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,07/22/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,985953.0,202839.0,"244 ELIZABETH STREET, NEW YORK, NEW YORK","(40.7233949, -73.993624)"
8278,242 EAST 33 STREET,MANHATTAN,06 MANHATTAN,Precinct 17,2.0,06/28/2011 07:00:00 AM +0000,Open,Site downloaded for cleaning,,990458.0,210561.0,"242 EAST 33 STREET, NEW YORK, NEW YORK","(40.744193, -73.97714599999999)"
8330,2415 E.124 ST,MANHATTAN,Unspecified MANHATTAN,Unspecified,,02/18/2011 08:00:00 AM +0000,Open,Unspecified,,,,"2415 E.124 ST, NEW YORK, NEW YORK","(40.8021486, -73.9344349)"
8332,2415 2 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 25,8.0,02/15/2011 08:00:00 AM +0000,Open,Unspecified,,1002486.0,231467.0,"2415 2 AVENUE, NEW YORK, NEW YORK","(40.802097, -73.93444699999999)"
